casename,ctp,yaw,phi_hub,Cp_1,Cp_2,Cp_T,ud
yaw_04_ct_19,4,20,-0.007338323,0.5450014069933147,0.5013269256024998,0.5231641662979072,0.4697224090711381
yaw_05_ct_19,4,25,-0.008877644,0.5261265980044249,0.5527191205933275,0.5394228592988761,0.4565212888274733
yaw_06_ct_19,4,30,-0.008499856,0.4941525857911548,0.5755217916565492,0.534837189,0.4500007729251102
yaw_07_ct_19,4,35,-0.0079936,0.4539734483937669,0.5803298302743163,0.5171516393340416,0.435205299
yaw_08_ct_19,4,40,-0.00878751,0.4025758236754893,0.573079373,0.4878275985696942,0.4182519459329291
yaw_09_ct_19,4,45,-0.008118636,0.3451853297010401,0.5873609249883134,0.4662731273446768,0.3950612837426759
yaw_00_ct_21,4.4,0,-0.008190119,0.5685601346312987,0.2971875253364586,0.4328738299838787,0.4639784707916978
yaw_01_ct_21,4.4,5,-0.007071414,0.5689694652683763,0.3330606403619239,0.4510150528151501,0.4622288284626362
yaw_02_ct_21,4.4,10,-0.009225661,0.5591119351646237,0.3918229718235335,0.4754674534940786,0.4627379453090375
yaw_03_ct_21,4.4,15,-0.005745113,0.5491348553131499,0.450229861,0.4996823582555389,0.4506083904542536
yaw_04_ct_21,4.4,20,-0.006433803,0.5341886190821262,0.5055046137052994,0.5198466163937128,0.4508197942107273
yaw_05_ct_21,4.4,25,-0.008208646,0.5149738626685417,0.5415009459269119,0.5282374042977268,0.4408926035248945
yaw_06_ct_21,4.4,30,-0.006964147,0.4877693767529841,0.5707092708089768,0.5292393237809805,0.4388966087594515
yaw_07_ct_21,4.4,35,-0.007813898,0.4495892323441563,0.568699844,0.5091445380052673,0.4267861677858245
yaw_08_ct_21,4.4,40,-0.006581795,0.4064907205881812,0.5716886026310853,0.4890896616096332,0.4108439025011428
yaw_09_ct_21,4.4,45,-0.006526663,0.3505553447380324,0.5985573121057993,0.4745563284219158,0.3858739550467283
